type,id,latitude,longitude,name
node,27288796,-37.8843792,145.1455722,Waverley Private Hospital
node,206200909,-35.0511403,142.8808925,Manangatang Hospital
node,262777337,-37.8526149,145.1649491,Peter James Centre
node,429184771,-37.9208228,145.1224428,Jessie McPherson Private Hospital
node,489359423,-37.0185154,145.1381959,Seymour Hospital
node,597972749,-37.9380359,145.2127203,Emergency
node,600761782,-36.7329561,146.9659735,Bright Hospital
node,687479687,-38.4860745,142.9764969,Timboon District Healthcare Service
node,704426805,-38.2393865,142.9020584,Terang & Mortlake Health Service
node,832508110,-38.5454422,143.9804248,Lorne Community Hospital
node,885893500,-37.8651567,144.8387644,Unknown
node,945024594,-37.4200877,143.8917602,Creswick Hospital and Nursing Home
node,1257803645,-37.5995317,144.2224358,Ballan District Health and Care
node,1279003446,-37.7558954,145.0609462,Mercy Hospital for Women
node,1313697291,-37.8568969,145.0940058,Delmont Private Hospital
node,1518791350,-37.9763185,146.784229,Heyfield Hospital
node,1556902795,-37.833742,145.1657139,Unknown
node,1901522484,-37.558366,149.7534583,Mallacoota Medical Centre
node,2037737699,-38.4600065,145.2328124,Grossard Court Home
node,2059452529,-37.7994568,144.9564192,Royal Melbourne Hospital
node,2375823214,-37.8843032,144.7324904,Boardwalk Health MedicalCentre
node,2405949093,-37.9219043,145.1206698,Monash Surgical Private
node,2458004387,-37.7233945,144.9475073,Dorset Rehabilitation Centre
node,2470481080,-37.9215323,145.1193962,Monash surgical private
node,2611190987,-38.4494851,145.2372508,Unknown
node,2678679360,-37.7568145,144.9717135,Brunswick Private Hospital
node,3167261112,-37.6843343,144.9131458,Broadmeadows Hospital
node,3790049233,-38.021958,145.954129,Neerim District Soldiers Memorial Hospital
node,3818420288,-38.1379457,141.624074,Heywood Rural Health
node,3902455806,-37.723615,144.8065555,Keilor Downs Surgery
node,4214963285,-37.0519115,144.2123435,Mt Alexander Hospital
node,4215016840,-36.315573,145.0421803,Kyabram Hospital
node,4246233623,-37.9386663,145.2131512,The Valley Private Hospital
node,4524199980,-37.9752194,145.1859273,Chandler Road Medical Centre
node,4712754127,-37.7999274,144.9562153,Victorian Comprehensive Cancer Centre
node,4712755317,-37.8003879,144.9567852,Peter MacCallum Cancer Centre
node,4780137423,-37.7663129,144.9658061,Unknown
node,5127953776,-37.9523063,145.1773168,Davell Lodge
node,5215342570,-37.9676778,145.1738309,Noble Manor Aged Care
node,5302929934,-38.2238248,145.0419,The Bays Hospital
node,5326446022,-36.7492359,144.2801905,Emergency Department
node,5453073744,-36.1987616,147.9030593,"Upper Murray Health & Community Services, Corryong"
node,5819905796,-37.8774755,145.0241358,Orthodontist
node,6797577951,-36.4499902,142.0244485,Wimmera Health Care
node,7068030974,-37.8168201,144.9940109,Unknown
node,8072155250,-36.3629086,145.405138,Emergency Ward
node,9576622181,-37.7565429,145.351376,Yarra Ranges Health
node,9962857372,-37.8440747,145.2491055,Knox Day Hospital
node,10185268719,-37.9208967,145.1202487,Monash house
node,11041628116,-37.7873942,145.1328204,Doncaster Private Hospital
way,4754494,-37.9200317,145.1240614,"Monash Medical Centre, Clayton Campus"
way,4787055,-37.8069112,145.2543839,Maroondah Hospital
way,5179320,-37.7986429,144.9556144,The Royal Melbourne Hospital
way,8655735,-37.8148988,145.1192395,Epworth Eastern Private Hospital
way,8655737,-37.8136201,145.118406,Box Hill Hospital
way,9923714,-37.754276,144.9588422,John Fawkner Private Hospital
way,19692048,-37.8870949,144.6979243,Werribee Mercy Hospital
way,24443980,-36.992834,144.063668,Maldon Hospital
way,24530691,-37.806832,144.974734,St Vincent's Hospital
way,24595717,-37.7566052,145.0589139,Austin Hospital
way,24690740,-37.7587979,144.8174425,Sunshine Hospital
way,25520531,-38.3628832,144.8849086,Rosebud Hospital
way,25583774,-37.7934267,144.9499297,Royal Children's Hospital
way,26037242,-37.7485656,144.8853992,Essendon Private Hospital
way,26807304,-37.0521752,144.2122531,Castlemaine Health
way,26830083,-37.78921,145.0123249,Thomas Embling Hospital
way,27164568,-36.3637143,145.4046626,Goulburn Valley Health (Shepparton)
way,27704724,-37.8115078,144.9774149,Eye and Ear on the Park
way,27877701,-38.1510173,145.1288442,Frankston Hospital
way,28135555,-37.8989403,145.3144687,Angliss Hospital
way,28222442,-37.808403,145.0527738,St George's Health Service
way,28738920,-37.9559492,145.0784929,Kingston Centre
way,28969758,-37.8332194,145.1556104,Bellbird Private Hospital
way,29548387,-37.8171818,144.9930382,Epworth Richmond Hospital
way,30409532,-38.152119,144.3655917,Barwon Health - University Hospital Geelong
way,30929255,-37.9763627,145.2180015,Dandenong Hospital
way,30930361,-38.1509093,144.3640222,University Hospital Geelong - Building B
way,30967824,-37.7544339,145.0476241,Heidelberg Repatriation Hospital
way,31249152,-37.8045742,145.015744,Caritas Christi Hospice
way,32920232,-37.8551083,144.9986594,The Avenue Hospital
way,32920650,-37.8828977,145.0173669,Caulfield Hospital
way,33298249,-37.7919567,144.8873484,Western Hospital
way,33479872,-37.861782,145.0334329,Cabrini Hospital
way,33765043,-37.653152,145.0139408,The Northern Hospital
way,34406728,-37.8486081,145.2252814,Wantirna Health
way,34587543,-37.8695224,145.0032963,Masada Private Hospital
way,34804621,-37.8980962,145.1604517,The Victorian Rehabilitation Centre
way,36024967,-37.8148469,144.9989455,The Melbourne Clinic
way,37519748,-37.7779502,144.9478187,Royal Melbourne Hospital - Royal Park Campus
way,37520334,-37.7806303,144.9473943,Orygen Youth Health
way,38518848,-37.8494683,145.228066,Knox Private Hospital
way,39627063,-36.8553079,143.7354601,Dunolly District Hospital
way,39798989,-37.8076843,144.9760724,St Vincents Private Hospital Fitzroy
way,42156312,-37.5594311,143.8464896,Ballarat Base Hospital
way,42156313,-37.5575179,143.8461714,St John of God Hospital
way,42744189,-37.6912917,145.0620371,Northpark Private Hospital
way,43419834,-37.8156878,144.9874394,Epworth Cliveden
way,47528828,-38.1574327,145.1692688,Unknown
way,48255597,-37.9386832,145.2129698,The Valley Private Hospital
way,48849606,-38.0856449,144.3568033,Barwon Health North
way,49671384,-38.1197673,144.3365597,McKellar Centre
way,50814298,-36.4391099,145.2254892,Goulburn Valley Health (Tatura)
way,51329555,-37.3372263,144.1452929,Daylesford Hospital and Nursing Home
way,51487548,-36.3592127,145.4109254,Shepparton Private Hospital
way,52673674,-36.1318512,146.8792483,Wodonga Regional Health Service
way,53143332,-36.3666946,144.6972727,Rochester and Elmore District Health Service
