name,coordinates,price,bed,bath,park_num,postcode,Latitude,Longitude
3/52 Grey Street East Melbourne VIC 3002,"[-37.8120539, 144.989296]",1000.0,2.0,2.0,1,3002,-37.8120539,144.989296
812V/162 Albert Street East Melbourne VIC 3002,"[-37.8100432, 144.9855313]",555.0,2.0,1.0,1,3002,-37.8100432,144.9855313
3/62 Simpson Street East Melbourne VIC 3002,"[-37.8150006, 144.9883463]",460.0,1.0,1.0,0,3002,-37.8150006,144.9883463
208/279 Wellington Parade South East Melbourne VIC 3002,"[-37.8162335, 144.9760382]",650.0,1.0,1.0,1,3002,-37.8162335,144.9760382
17/1 Wellington Crescent East Melbourne VIC 3002,"[-37.8173777, 144.9781787]",650.0,2.0,1.0,1,3002,-37.8173777,144.9781787
7/2 Wellington Crescent East Melbourne VIC 3002,"[-37.8177808, 144.9777171]",740.0,2.0,2.0,2,3002,-37.8177808,144.9777171
804/280 Albert Street East Melbourne VIC 3002,"[-37.8097936, 144.9817503]",1200.0,2.0,2.0,2,3002,-37.8097936,144.9817503
620/280 Albert Street East Melbourne VIC 3002,"[-37.8097936, 144.9817503]",1175.0,2.0,2.0,1,3002,-37.8097936,144.9817503
502/150 Clarendon Street East Melbourne VIC 3002,"[-37.8120899, 144.9835967]",900.0,1.0,1.0,1,3002,-37.8120899,144.9835967
4/201 Wellington Parade South East Melbourne VIC 3002,"[-37.8167521, 144.9785464]",675.0,1.0,1.0,1,3002,-37.8167521,144.9785464
402/144 Jolimont Road East Melbourne VIC 3002,"[-37.817159, 144.9790262]",1150.0,2.0,2.0,2,3002,-37.817159,144.9790262
21/322 Albert St East Melbourne VIC 3002,"[-37.8098272, 144.9802798]",1000.0,2.0,2.0,1,3002,-37.8098272,144.9802798
17/108 George Street East Melbourne VIC 3002,"[-37.8152553, 144.9867895]",550.0,1.0,1.0,0,3002,-37.8152553,144.9867895
538 Victoria Parade East Melbourne VIC 3002,"[-37.8101552, 144.9894319]",550.0,2.0,1.0,0,3002,-37.8101552,144.9894319
22 Hayes Lane East Melbourne VIC 3002,"[-37.8141957, 144.9902613]",895.0,3.0,1.0,2,3002,-37.8141957,144.9902613
86 Hotham Street East Melbourne VIC 3002,"[-37.8141406, 144.9874786]",475.0,1.0,1.0,1,3002,-37.8141406,144.9874786
213/33 Cliveden Close East Melbourne VIC 3002,"[-37.8171001, 144.9767157]",450.0,1.0,1.0,1,3002,-37.8171001,144.9767157
35/211 Wellington Parade South East Melbourne VIC 3002,"[-37.816431, 144.9774516]",925.0,3.0,2.0,2,3002,-37.816431,144.9774516
2/55 George St East Melbourne VIC 3002,"[-37.8157471, 144.9884488]",450.0,1.0,1.0,0,3002,-37.8157471,144.9884488
162 George Street East Melbourne VIC 3002,"[-37.81498, 144.9850436]",1650.0,3.0,2.0,2,3002,-37.81498,144.9850436
1201/279 Wellington Parade South East Melbourne VIC 3002,"[-37.8162335, 144.9760382]",1450.0,3.0,2.0,2,3002,-37.8162335,144.9760382
Apt 704/9 Eades Street East Melbourne VIC 3002,"[-37.8095672, 144.9807606]",550.0,1.0,1.0,1,3002,-37.8095672,144.9807606
546 Victoria Parade East Melbourne VIC 3002,"[-37.8101187, 144.9896471]",790.0,3.0,1.0,0,3002,-37.8101187,144.9896471
1/2 Wellington Crescent East Melbourne VIC 3002,"[-37.8177808, 144.9777171]",725.0,2.0,2.0,1,3002,-37.8177808,144.9777171
3/6 Garden Avenue East Melbourne VIC 3002,"[-37.8164118, 144.9890391]",550.0,1.0,1.0,0,3002,-37.8164118,144.9890391
113/158 Simpson Street East Melbourne VIC 3002,"[-37.8106622, 144.9890725]",1128.0,1.0,1.0,0,3002,-37.8106622,144.9890725
503/392 Spencer Street West Melbourne VIC 3003,"[-37.8112569, 144.9509666]",450.0,1.0,1.0,0,3003,-37.8112569,144.9509666
2314/65 Dudley Street West Melbourne VIC 3003,"[-37.810221, 144.9506929]",600.0,1.0,1.0,0,3003,-37.810221,144.9506929
178 Stanley Street West Melbourne VIC 3003,"[-37.8092408, 144.9469662]",950.0,3.0,2.0,0,3003,-37.8092408,144.9469662
1108/130-152 Dudley Street West Melbourne VIC 3003,"[-37.809552, 144.950835]",520.0,1.0,1.0,1,3003,-37.809552,144.950835
1111/33 Batman Street West Melbourne VIC 3003,"[-37.8108602, 144.9518268]",600.0,2.0,1.0,0,3003,-37.8108602,144.9518268
1308/65 Dudley Street West Melbourne VIC 3003,"[-37.810221, 144.9506929]",500.0,1.0,1.0,0,3003,-37.810221,144.9506929
1708/65 Dudley Street West Melbourne VIC 3003,"[-37.810221, 144.9506929]",600.0,1.0,1.0,0,3003,-37.810221,144.9506929
301/15-31 Batman Street West Melbourne VIC 3003,"[-37.8107573, 144.952244]",470.0,1.0,1.0,0,3003,-37.8107573,144.952244
814/420 Spencer Street West Melbourne VIC 3003,"[-37.8103214, 144.9503971]",500.0,1.0,1.0,0,3003,-37.8103214,144.9503971
G07/35 Dryburgh Street West Melbourne VIC 3003,"[-37.8060128, 144.9426219]",450.0,1.0,1.0,1,3003,-37.8060128,144.9426219
6/166 Stanley Street West Melbourne VIC 3003,"[-37.8090735, 144.9472571]",650.0,2.0,2.0,1,3003,-37.8090735,144.9472571
1404/65 Dudley Street West Melbourne VIC 3003,"[-37.810221, 144.9506929]",700.0,2.0,2.0,0,3003,-37.810221,144.9506929
101/14-16 Anderson Street West Melbourne VIC 3003,"[-37.8056962, 144.9421047]",575.0,2.0,1.0,1,3003,-37.8056962,144.9421047
68 Abbotsford Street West Melbourne VIC 3003,"[-37.8066434, 144.9448263]",515.0,2.0,1.0,0,3003,-37.8066434,144.9448263
9/53 Batman Street West Melbourne VIC 3003,"[-37.8110929, 144.9515043]",420.0,1.0,1.0,0,3003,-37.8110929,144.9515043
"Level 1, 107/16 Anderson Street West Melbourne VIC 3003","[-37.8056962, 144.9421047]",495.0,1.0,1.0,1,3003,-37.8056962,144.9421047
505/16-20 Anderson Street West Melbourne VIC 3003,"[-37.8055893, 144.9422348]",495.0,1.0,1.0,1,3003,-37.8055893,144.9422348
1713/65 Dudley Street West Melbourne VIC 3003,"[-37.810221, 144.9506929]",660.0,2.0,1.0,1,3003,-37.810221,144.9506929
1505/45 Dudley Street West Melbourne VIC 3003,"[-37.8099927, 144.9509685]",680.0,2.0,2.0,0,3003,-37.8099927,144.9509685
106/94 Stanley Street West Melbourne VIC 3003,"[-37.8080064, 144.9490083]",680.0,2.0,1.0,1,3003,-37.8080064,144.9490083
12/61 Stanley Street West Melbourne VIC 3003,"[-37.8083807, 144.9495901]",630.0,2.0,1.0,1,3003,-37.8083807,144.9495901
207/5 Stawell Street West Melbourne VIC 3003,"[-37.8060792, 144.9421954]",350.0,1.0,1.0,0,3003,-37.8060792,144.9421954
707/130 Dudley Street West Melbourne VIC 3003,"[-37.809552, 144.950835]",520.0,1.0,1.0,1,3003,-37.809552,144.950835
419/288 Adderley Street West Melbourne VIC 3003,"[-37.8073235, 144.9431779]",700.0,2.0,2.0,1,3003,-37.8073235,144.9431779
303/162 Rosslyn Street West Melbourne VIC 3003,"[-37.8092416, 144.9489019]",550.0,2.0,1.0,1,3003,-37.8092416,144.9489019
314/429 Spencer Street West Melbourne VIC 3003,"[-37.8104958, 144.9499867]",475.0,1.0,1.0,0,3003,-37.8104958,144.9499867
1601/408 Spencer Street West Melbourne VIC 3003,"[-37.81058609999999, 144.9505353]",600.0,1.0,1.0,1,3003,-37.81058609999999,144.9505353
1/593 Spencer Street West Melbourne VIC 3003,"[-37.8070477, 144.9463282]",720.0,2.0,1.0,2,3003,-37.8070477,144.9463282
405/145 Roden Street West Melbourne VIC 3003,"[-37.80844829999999, 144.9473139]",450.0,1.0,1.0,1,3003,-37.80844829999999,144.9473139
11/28 Jeffcott St West Melbourne VIC 3003,"[-37.8114763, 144.9525773]",730.0,2.0,1.0,1,3003,-37.8114763,144.9525773
106/33 Jeffcott Street West Melbourne VIC 3003,"[-37.8117948, 144.9526042]",800.0,3.0,2.0,1,3003,-37.8117948,144.9526042
1205/33-43 Batman Street West Melbourne VIC 3003,"[-37.8110712, 144.9519775]",620.0,2.0,1.0,1,3003,-37.8110712,144.9519775
111/162 Rosslyn Street West Melbourne VIC 3003,"[-37.8092416, 144.9489019]",530.0,1.0,1.0,0,3003,-37.8092416,144.9489019
205/55 Jeffcott Street West Melbourne VIC 3003,"[-37.8120511, 144.9517315]",520.0,1.0,1.0,0,3003,-37.8120511,144.9517315
G8/162 Rosslyn Street West Melbourne VIC 3003,"[-37.8091822, 144.9490261]",460.0,1.0,1.0,1,3003,-37.8091822,144.9490261
19 Curzon Street West Melbourne VIC 3003,"[-37.8055533, 144.9473641]",650.0,3.0,1.0,0,3003,-37.8055533,144.9473641
1502/65 Dudley Street West Melbourne VIC 3003,"[-37.810221, 144.9506929]",490.0,1.0,1.0,0,3003,-37.810221,144.9506929
UNIT 1003/65 DUDLEY STREET West Melbourne VIC 3003,"[-37.810221, 144.9506929]",685.0,2.0,2.0,0,3003,-37.810221,144.9506929
508/130 Dudley Street West Melbourne VIC 3003,"[-37.809552, 144.950835]",400.0,0.0,1.0,1,3003,-37.809552,144.950835
609/55 Jeffcott Street West Melbourne VIC 3003,"[-37.8120511, 144.9517315]",475.0,1.0,1.0,0,3003,-37.8120511,144.9517315
1202/408 Spencer Street West Melbourne VIC 3003,"[-37.81058609999999, 144.9505353]",730.0,2.0,2.0,0,3003,-37.81058609999999,144.9505353
1002/408 Spencer Street West Melbourne VIC 3003,"[-37.81058609999999, 144.9505353]",720.0,2.0,2.0,0,3003,-37.81058609999999,144.9505353
707/408 Spencer St West Melbourne VIC 3003,"[-37.81058609999999, 144.9505353]",750.0,2.0,1.0,1,3003,-37.81058609999999,144.9505353
48 Dryburgh Street West Melbourne VIC 3003,"[-37.8059958, 144.9431919]",650.0,2.0,1.0,0,3003,-37.8059958,144.9431919
104/55 Jeffcott Street West Melbourne VIC 3003,"[-37.8120511, 144.9517315]",600.0,2.0,1.0,1,3003,-37.8120511,144.9517315
204/33-43 Batman St West Melbourne VIC 3003,"[-37.8108602, 144.9518268]",480.0,1.0,1.0,0,3003,-37.8108602,144.9518268
509/121 Rosslyn Street West Melbourne VIC 3003,"[-37.8090167, 144.9502471]",595.0,2.0,1.0,1,3003,-37.8090167,144.9502471
506/118 Dudley Street West Melbourne VIC 3003,"[-37.8093556, 144.9514024]",550.0,2.0,1.0,1,3003,-37.8093556,144.9514024
501/162 Rosslyn Street West Melbourne VIC 3003,"[-37.8092416, 144.9489019]",570.0,2.0,1.0,1,3003,-37.8092416,144.9489019
701 Spencer Street West Melbourne VIC 3003,"[-37.8058196, 144.9434984]",500.0,2.0,1.0,1,3003,-37.8058196,144.9434984
404/150 Dudley Street West Melbourne VIC 3003,"[-37.8097557, 144.9503828]",595.0,2.0,1.0,1,3003,-37.8097557,144.9503828
1703/408 Spencer Street West Melbourne VIC 3003,"[-37.81058609999999, 144.9505353]",780.0,2.0,2.0,0,3003,-37.81058609999999,144.9505353
1504/393 Spencer Street West Melbourne VIC 3003,"[-37.8113249, 144.950247]",720.0,2.0,2.0,1,3003,-37.8113249,144.950247
1710/393 Spencer Street West Melbourne VIC 3003,"[-37.8113249, 144.950247]",700.0,2.0,2.0,1,3003,-37.8113249,144.950247
1204/53 Batman Street West Melbourne VIC 3003,"[-37.8110929, 144.9515043]",475.0,1.0,1.0,0,3003,-37.8110929,144.9515043
606/386-390 Spencer Street West Melbourne VIC 3003,"[-37.8113643, 144.9508755]",500.0,1.0,1.0,0,3003,-37.8113643,144.9508755
208/140 Dudley Street West Melbourne VIC 3003,"[-37.8095724, 144.9507686]",500.0,1.0,1.0,1,3003,-37.8095724,144.9507686
301/112 Ireland Street West Melbourne VIC 3003,"[-37.8063069, 144.9426089]",600.0,2.0,1.0,1,3003,-37.8063069,144.9426089
402/41 Dryburgh Street West Melbourne VIC 3003,"[-37.8059841, 144.9427567]",500.0,1.0,1.0,1,3003,-37.8059841,144.9427567
413/9 Dryburgh Street West Melbourne VIC 3003,"[-37.806619, 144.9424148]",600.0,1.0,1.0,1,3003,-37.806619,144.9424148
213/10 Wominjeka Walk West Melbourne VIC 3003,"[-37.8101455, 144.9490076]",525.0,1.0,1.0,0,3003,-37.8101455,144.9490076
805/45 Dudley St West Melbourne VIC 3003,"[-37.8099795, 144.9509744]",680.0,2.0,2.0,0,3003,-37.8099795,144.9509744
208/28 Curzon Street West Melbourne VIC 3003,"[-37.8054612, 144.947933]",650.0,2.0,1.0,1,3003,-37.8054612,144.947933
1405/105 Batman Street West Melbourne VIC 3003,"[-37.8113868, 144.9498146]",580.0,1.0,1.0,1,3003,-37.8113868,144.9498146
1501/393 Spencer Street West Melbourne VIC 3003,"[-37.8113249, 144.950247]",520.0,1.0,1.0,0,3003,-37.8113249,144.950247
1711/105 Batman Street West Melbourne VIC 3003,"[-37.8113868, 144.9498146]",560.0,1.0,1.0,0,3003,-37.8113868,144.9498146
406/130 Dudley Street West Melbourne VIC 3003,"[-37.809552, 144.950835]",595.0,2.0,1.0,1,3003,-37.809552,144.950835
403/175 Rosslyn Street West Melbourne VIC 3003,"[-37.8096818, 144.9490602]",675.0,2.0,2.0,1,3003,-37.8096818,144.9490602
1006/392 Spencer Street West Melbourne VIC 3003,"[-37.8112569, 144.9509666]",530.0,1.0,1.0,0,3003,-37.8112569,144.9509666
803/45 Dudley Street West Melbourne VIC 3003,"[-37.8099795, 144.9509744]",550.0,1.0,1.0,0,3003,-37.8099795,144.9509744
113/140 Dudley Street West Melbourne VIC 3003,"[-37.8095724, 144.9507686]",485.0,1.0,1.0,0,3003,-37.8095724,144.9507686
607/105 Batman Street West Melbourne VIC 3003,"[-37.8113868, 144.9498146]",560.0,1.0,1.0,1,3003,-37.8113868,144.9498146
101/130 Dudley Street West Melbourne VIC 3003,"[-37.809552, 144.950835]",480.0,1.0,1.0,0,3003,-37.809552,144.950835
503/8 Bowen Crescent Melbourne VIC 3004,"[-37.8354199, 144.9725772]",900.0,3.0,2.0,1,3004,-37.8354199,144.9725772
309/77 Queens Road Melbourne VIC 3004,"[-37.8528041, 144.9794182]",495.0,1.0,1.0,1,3004,-37.8528041,144.9794182
1706/499 St Kilda Road Melbourne VIC 3004,"[-37.8433764, 144.9792605]",3950.0,5.0,5.0,4,3004,-37.8433764,144.9792605
309/360 St Kilda Road Melbourne VIC 3004,"[-37.8318264, 144.9710642]",875.0,2.0,2.0,2,3004,-37.8318264,144.9710642
908/480 St Kilda Road Melbourne VIC 3004,"[-37.8427264, 144.9773176]",740.0,2.0,2.0,1,3004,-37.8427264,144.9773176
3404/439 Collins Street Melbourne VIC 3004,"[-37.8179178, 144.9601207]",2400.0,3.0,2.0,2,3004,-37.8179178,144.9601207
318/360 St Kilda Road Melbourne VIC 3004,"[-37.8316515, 144.9707779]",440.0,1.0,1.0,1,3004,-37.8316515,144.9707779
306/400 St Kilda Road Melbourne VIC 3004,"[-37.8346687, 144.9739567]",475.0,1.0,1.0,1,3004,-37.8346687,144.9739567
107/12 Queens Road Melbourne VIC 3004,"[-37.8387563, 144.9743936]",500.0,1.0,1.0,0,3004,-37.8387563,144.9743936
402/8 Bowen Crescent Melbourne VIC 3004,"[-37.8354199, 144.9725772]",670.0,2.0,2.0,1,3004,-37.8354199,144.9725772
1004/8 Bowen Crescent Melbourne VIC 3004,"[-37.8354199, 144.9725772]",750.0,2.0,2.0,1,3004,-37.8354199,144.9725772
631/539 St Kilda Road Melbourne VIC 3004,"[-37.8454438, 144.9794504]",460.0,1.0,1.0,1,3004,-37.8454438,144.9794504
315/55 Queens Rd Melbourne VIC 3004,"[-37.847853, 144.9776096]",720.0,2.0,2.0,1,3004,-37.847853,144.9776096
401/77 Queens Road Melbourne VIC 3004,"[-37.8528041, 144.9794182]",660.0,2.0,2.0,1,3004,-37.8528041,144.9794182
213/39 Lonsdale Street Melbourne VIC 3004,"[-37.8099061, 144.9711071]",550.0,2.0,1.0,0,3004,-37.8099061,144.9711071
