FID,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_749f,108,19932,Darebin Railway Station (Ivanhoe),-37.775,145.0385,1,Hurstbridge,POINT (-37.77496299 145.03847616),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a0,109,19933,Ivanhoe Railway Station (Ivanhoe),-37.7689,145.0454,"1,2",Hurstbridge,POINT (-37.76889699 145.04542488),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a1,110,19934,Eaglemont Railway Station (Eaglemont),-37.7636,145.0539,"1,2",Hurstbridge,POINT (-37.763586 145.05394284),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a2,111,19935,Heidelberg Railway Station (Heidelberg),-37.7571,145.0607,"1,2",Hurstbridge,POINT (-37.75707297 145.060686),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a3,112,19936,Rosanna Railway Station (Rosanna),-37.7429,145.0661,2,Hurstbridge,POINT (-37.74287898 145.06614),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a4,113,19937,Moorabbin Railway Station (Moorabbin),-37.9344,145.0367,2,Frankston,POINT (-37.93435299 145.03673808),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a5,114,19938,Patterson Railway Station (Bentleigh),-37.9251,145.0355,2,Frankston,POINT (-37.92514896 145.03547016),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a6,115,19939,Bentleigh Railway Station (Bentleigh),-37.9174,145.037,"1,2",Frankston,POINT (-37.91742498 145.03699512),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a7,116,19940,McKinnon Railway Station (Mckinnon),-37.9103,145.0383,"1,2",Frankston,POINT (-37.91030904 145.03829904),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a8,117,19941,Ormond Railway Station (Ormond),-37.9032,145.0396,"1,2",Frankston,POINT (-37.903212 145.03961304),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74a9,118,19942,Glenhuntly Railway Station (Glen Huntly),-37.8897,145.0422,1,Frankston,POINT (-37.88971902 145.04222304),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74aa,119,19943,Caulfield Railway Station (Caulfield East),-37.8775,145.0425,1,"Frankston,Pakenham,Cranbourne",POINT (-37.87745904 145.04252508),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74ab,120,19944,Malvern Railway Station (Malvern),-37.8663,145.0293,1,Frankston,POINT (-37.86625296 145.029294),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74ac,121,19945,Armadale Railway Station (Armadale),-37.8565,145.0193,1,Frankston,POINT (-37.85645196 145.01932596),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74ad,122,19946,Toorak Railway Station (Armadale),-37.8508,145.0139,1,Frankston,POINT (-37.85077404 145.01390904),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74ae,123,19947,Hawksburn Railway Station (South Yarra),-37.8446,145.0021,1,Frankston,POINT (-37.84459104 145.00214208),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74af,124,19948,Sandringham Railway Station (Sandringham),-37.9503,145.0046,2,Sandringham,POINT (-37.95032997 145.00456092),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b0,125,19949,Hampton Railway Station (Hampton),-37.938,145.0015,2,Sandringham,POINT (-37.93797702 145.00147104),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b1,126,19950,Brighton Beach Railway Station (Brighton),-37.9265,144.9892,"1,2",Sandringham,POINT (-37.92648402 144.989154),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b2,127,19951,Middle Brighton Railway Station (Brighton),-37.9151,144.9963,"1,2",Sandringham,POINT (-37.91513403 144.99629892),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b3,128,19952,North Brighton Railway Station (Brighton),-37.9049,145.0026,"1,2",Sandringham,POINT (-37.90488699 145.00260504),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b4,129,19953,Gardenvale Railway Station (Brighton),-37.8967,145.0042,1,Sandringham,POINT (-37.89669501 145.00416816),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b5,130,19954,Elsternwick Railway Station (Elsternwick),-37.8848,145.0009,1,Sandringham,POINT (-37.884753 145.00089792),
PTV_METRO_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_74b6,131,19955,Ripponlea Railway Station (Ripponlea),-37.8759,144.9952,1,Sandringham,POINT (-37.875906 144.99523692),
