postcode,SA2
3164,212041311
3165,208021426
3166,208021180
3167,212051326
3168,212051320
3169,212041309
3170,212051325
3171,212041317
3172,212041313
3173,212041314
3174,212041460
3175,212041314
3176,211011254
3177,212021295
3178,211011256
3179,211011254
3180,211011254
3181,206061136
3182,206051133
3183,206051134
3184,206051129
3185,208021179
3186,208011169
3187,208011170
3188,208011172
3189,208031191
3190,208011171
3191,208011173
3192,208031188
3193,208011168
3194,208031190
3195,208031189
3196,208031186
3197,208031185
3198,214011375
3199,214011371
3200,214011372
3201,214011370
3202,208031191
3204,208021174
3205,206051132
3206,206051128
3207,206051130
3211,203021043
3212,203021043
3213,203021043
3214,203021038
3215,203021047
3216,203021037
3217,203031050
3218,203021040
3219,203021039
3220,203021046
3221,203011036
3222,203031048
3223,203031051
3224,203021044
3225,203031052
3226,203031050
3227,203031050
3228,203031053
3230,203031049
3231,203031049
3232,203031049
3233,217031476
3234,217031476
3235,203031049
3236,217031476
3237,217031476
3238,217031476
3239,217031476
3240,203011036
3241,203011036
3242,217031473
3243,217031473
3249,217031473
3250,217031472
3251,217031473
3254,217031473
3260,217031474
3264,217031474
3265,217031474
3266,217031475
3267,217031475
3268,217031475
3269,217031475
3270,217031475
3271,217041477
3272,217041477
3273,217041477
3274,217041477
3275,217041478
3276,217041477
3277,217041480
3278,217041477
3279,217041477
3280,217041479
3281,217041479
3282,217041478
3283,217041478
3284,217041478
3285,217041478
3286,217011420
3287,217041478
3289,217011423
3292,217011420
3293,217011423
3294,217011423
3300,217011423
3301,217011423
3302,217011423
3303,217011420
3304,217041478
3305,217011420
3309,217011420
3310,217011420
3311,217011420
3312,217011420
3314,217011423
3315,217011423
3317,215011393
3318,215011393
3319,215011393
3321,203011035
3322,217031473
3323,217031474
3324,217031474
3325,217031474
3328,203011035
3329,203011035
3330,203011035
3331,203011034
3332,203011035
3333,203011035
3334,201021012
3335,213041355
3336,213041359
3337,213041358
3338,213041357
3340,213041353
3341,201021009
3342,201021009
3345,201021012
3350,201011001
3351,201031015
3352,201021010
3353,201011002
3354,201011002
3355,201011002
3356,201011006
3357,201011005
3358,210021235
3360,201031015
3361,217031474
3363,201021010
3364,201021010
3370,201021010
3371,201031017
3373,201031014
3374,215011392
3375,215011387
3377,201031013
3378,215011387
3379,101041025
3380,215011392
3381,201031013
3384,201031013
3385,215011389
3387,215011391
3388,215011391
3390,215011394
3391,215011394
3392,215011394
3393,215011394
3395,215011394
3396,215011394
3399,215011389
3400,215011389
3401,215011389
3402,215011388
3407,217011423
3409,215011389
3412,215011393
3413,215011393
3414,215011390
3415,215011390
3418,215011390
3419,215011390
3420,215011390
3423,215011390
3424,215011390
3427,210041241
3428,210051246
3429,210041241
3430,210021235
3431,210021234
3432,210021235
3433,210021235
3434,210021234
3435,210021235
3437,210021232
3438,210021232
3440,210021233
3441,210021233
3442,202021031
3444,202021028
3446,202021028
3447,202021028
3448,202021028
3450,202021027
3451,202021028
3453,202021028
3458,201021009
3460,201021011
3461,201021011
3462,202021028
3463,202021028
3464,201031017
3465,201031017
3467,201031013
3468,201031013
3469,201031013
3472,201031017
3475,201031017
3477,215011391
3478,215011391
3480,215011394
3482,215031400
3483,215031400
3485,215031400
3487,215011394
3488,215011394
3489,215011394
3490,215021398
3491,215021398
3494,215021398
3496,215021399
3498,215021395
3500,215021470
3501,215021398
3502,215021470
3505,215021396
3506,215021398
3507,215021398
3509,215021398
3512,215021398
3515,202021026
3516,202031033
3517,202031033
3518,202031033
3520,202031033
3521,204011060
3522,204011060
3523,202021029
3525,215031400
3527,215031400
3529,215031400
3530,215031400
3531,215031400
3533,215031400
3537,202031033
3540,215031401
3542,215031400
3544,215031405
3546,215031405
3549,215031405
3550,202011018
3551,202031033
3552,202011018
3554,202011018
3555,202011022
3556,202011019
3557,202031032
3558,216011410
3559,202031032
3561,216011409
3562,216011408
3563,216011408
3564,216011408
3565,216011408
3566,216011408
3567,215031401
3568,215031401
3570,202031033
3571,202031033
3572,216011408
3573,202031033
3575,202031033
3576,202031033
3579,215031401
3580,215031401
3581,215031401
3583,215031405
3584,215031405
3585,215031405
3586,215031405
3588,215031405
3589,215031405
3590,215031405
3591,215031405
3594,215031405
3595,215031405
3596,215031405
3597,215031405
3599,215031405
3607,204011058
3608,204011058
3610,216031419
3612,216011410
3614,216031419
3616,216031419
3617,216031419
3618,216031419
3619,216011407
3620,216011407
3621,216011407
3622,216011406
3623,216011410
3624,216011410
3629,216031419
3630,216031418
3631,216031418
3632,216031417
3633,216031418
3634,216031418
3635,216021413
3636,216021413
3637,216021413
3638,216021413
3639,216021413
3640,216021413
3641,216021413
3643,216021411
3644,216021411
3646,216031418
3647,216031418
3649,216021412
3658,204011056
3659,204011060
3660,204011062
3661,204011059
3662,204011060
3663,204011058
3664,204011058
3665,204011058
3666,204011055
3669,204011055
3670,204021064
3671,204021063
3672,204021063
3673,204021063
3675,216021412
3676,204021066
3677,204021066
3678,204021067
3682,204021067
3683,204031070
3685,204021067
3687,204021065
3688,204031070
3689,204031074
3690,204031073
3691,204031075
3694,204031074
3695,204031075
3697,204031069
3698,204031069
3699,204031069
3700,204031072
3701,204031072
3704,204031072
3705,204031072
3707,204031072
