Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mount Clear-Buninyong,140.0,146.25,158.33,166.0,177.5,180.0,186.25,192.5,207.5,240.0,255.0,280.0,300.0,291.25,300.0,300.0,314.5,311.25,327.0,340.0,350.0,356.25,367.5,373.0
Sebastopol-Delacombe,130.0,135.0,140.0,150.0,158.75,167.5,172.0,180.0,190.0,205.0,217.5,236.25,250.0,251.25,260.0,257.5,253.75,260.0,276.25,290.0,310.0,337.5,372.5,390.0
Wendouree-Alfredton,133.75,142.5,155.0,168.0,180.0,181.25,185.0,193.75,207.5,230.0,240.0,260.0,268.75,276.0,280.0,282.5,288.75,293.75,304.75,325.0,342.5,362.5,387.5,400.0
Group Total,136.25,141.25,151.67,162.0,172.5,178.5,182.5,188.75,203.5,220.0,231.25,247.5,260.0,262.25,268.75,270.0,270.0,278.75,292.5,310.0,323.75,342.5,368.75,380.0
Bendigo,132.5,138.75,145.0,159.0,168.75,177.5,183.75,193.75,207.5,218.75,235.25,256.25,270.0,273.25,272.5,278.75,271.25,277.5,287.5,308.75,332.5,350.0,376.25,383.0
Flora Hill-Bendigo East,141.25,147.5,158.33,171.0,183.75,191.25,198.75,207.5,213.0,225.75,241.25,260.0,275.0,275.0,278.75,273.75,273.75,281.25,291.25,298.75,317.5,345.0,376.25,390.0
Golden Square-Kangaroo Flat,145.75,150.0,153.33,166.0,182.5,190.0,193.75,202.5,210.75,222.5,235.75,256.25,275.0,280.0,280.0,280.0,278.75,282.5,296.25,305.0,323.75,346.5,386.25,400.0
North Bendigo,133.75,138.75,145.0,158.0,168.75,176.25,182.5,193.75,202.5,216.75,231.25,250.0,268.75,281.25,278.75,279.75,280.0,280.75,290.0,301.25,318.75,346.25,387.5,400.0
Group Total,138.75,142.5,150.67,165.0,177.5,182.5,190.0,200.0,207.5,221.25,235.25,255.0,272.5,280.0,280.0,280.0,277.5,280.0,291.25,302.5,321.25,346.25,380.0,400.0
Bairnsdale,129.0,132.5,136.67,147.4,166.25,175.0,180.0,187.5,199.5,210.0,227.5,246.25,255.75,260.0,263.75,272.5,277.5,280.0,290.75,300.0,305.0,335.0,377.5,400.0
Benalla,123.75,130.0,136.0,151.4,162.5,170.0,177.5,180.0,183.75,188.75,200.0,203.75,212.0,213.75,226.25,230.0,230.0,242.5,252.5,287.5,302.5,337.5,375.0,395.0
Castlemaine,126.25,135.75,141.67,153.6,167.5,180.0,182.5,196.25,207.5,220.0,237.5,267.5,281.25,298.75,301.75,301.25,307.5,317.0,326.25,332.5,348.75,370.0,400.75,430.0
Echuca,156.0,160.0,166.67,176.2,183.75,187.5,192.25,202.5,213.75,220.0,226.25,232.5,247.5,253.75,267.0,280.0,288.75,295.75,302.5,317.5,339.5,360.0,385.0,410.0
Hamilton,110.0,106.25,110.0,120.0,150.0,178.75,190.0,182.0,183.75,194.5,205.0,215.75,230.0,230.0,233.0,230.0,230.0,231.25,240.0,260.25,271.25,287.5,317.0,330.0
Horsham,121.25,125.0,130.0,141.0,151.25,155.0,160.0,165.0,172.5,179.5,190.0,201.25,220.0,232.5,245.0,250.0,250.0,258.75,263.75,273.25,280.0,306.25,335.0,350.0
Mildura,143.75,150.0,151.67,160.0,167.5,175.0,181.25,191.25,198.75,199.75,202.5,215.0,227.0,238.75,248.75,261.25,271.25,280.0,283.25,301.25,312.5,332.5,345.0,360.0
Moe-Newborough,91.25,90.0,91.67,98.0,107.0,113.75,120.0,128.75,134.5,143.75,158.75,177.5,178.75,190.0,192.5,202.5,201.25,208.75,210.75,226.25,247.5,265.0,301.25,320.0
Morwell,100.0,100.0,101.67,115.0,121.25,126.25,130.0,135.0,140.0,148.75,160.0,170.5,177.5,184.5,187.5,196.25,200.0,201.5,210.0,222.5,228.75,251.25,293.75,320.0
Ocean Grove-Barwon Heads,150.0,160.0,171.67,178.0,185.0,197.5,212.0,228.75,265.0,291.25,302.5,333.75,350.0,350.0,350.0,352.5,365.0,382.5,398.75,422.5,427.5,482.5,540.0,550.0
Portland,110.0,113.75,123.33,135.0,151.0,160.0,171.25,180.0,196.25,200.0,200.75,210.0,226.25,230.0,230.0,230.0,230.0,235.0,250.0,268.75,300.0,342.5,357.5,380.0
Sale-Maffra,120.0,120.0,123.33,130.6,142.5,150.0,155.5,171.25,188.75,205.0,220.0,230.0,240.0,247.5,256.25,273.75,276.25,268.75,268.75,282.5,298.75,335.0,381.25,400.0
Seymour,125.0,128.75,130.0,136.0,145.75,150.0,153.75,160.0,167.5,178.75,178.75,203.25,211.5,212.75,225.0,246.5,250.0,256.25,273.25,285.0,298.75,306.25,349.0,365.0
Shepparton,143.75,148.75,156.67,164.0,167.5,176.25,180.0,188.75,196.25,206.25,220.0,232.5,245.0,250.0,255.0,260.0,263.75,270.0,277.5,285.0,295.0,315.0,347.5,380.0
Swan Hill,135.0,138.75,140.0,148.0,150.0,158.75,166.25,176.25,187.5,193.75,201.25,210.0,213.75,220.0,222.5,228.25,237.5,243.75,248.75,260.0,272.5,298.75,305.0,320.0
Torquay,161.25,176.25,188.33,209.0,221.25,241.25,264.5,277.5,301.25,333.25,355.0,386.25,390.0,395.0,402.5,422.5,445.0,460.0,487.5,500.0,502.5,547.5,595.0,620.0
Traralgon,123.75,126.25,130.0,147.0,159.5,167.5,175.0,186.25,206.25,225.0,231.25,248.0,250.0,256.25,263.75,270.0,270.0,276.25,278.75,287.5,307.5,345.0,375.0,385.0
Wanagaratta,127.5,131.25,135.0,141.0,153.25,162.5,172.5,181.25,187.5,196.25,206.25,216.25,221.25,235.0,247.5,250.0,260.0,266.25,274.25,287.5,299.5,340.0,377.5,380.0
Warragul,133.75,137.5,151.67,162.0,173.75,182.5,187.5,193.25,202.75,220.0,235.0,250.0,259.75,267.5,272.75,280.0,293.75,305.0,323.75,347.0,360.0,383.75,412.5,440.0
Warrnambool,133.75,141.25,148.33,162.0,178.75,193.75,203.25,212.5,222.5,240.25,262.5,281.25,282.5,280.0,280.0,285.0,288.75,290.0,300.0,322.5,342.5,365.0,410.0,420.0
Wodonga,147.5,150.0,153.33,166.0,181.25,192.5,210.0,218.75,227.5,233.75,241.25,250.0,261.75,270.0,280.0,287.5,290.0,298.75,302.5,318.75,330.0,355.0,395.0,410.0
