Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canterbury-Surrey Hills-Mont Albert,235.75,242.5,250.0,253.0,259.5,272.5,278.75,308.75,367.0,396.25,408.25,411.25,420.0,427.5,446.25,447.5,450.0,475.0,495.0,510.0,515.0,487.5,501.25,550.0
Chadstone-Oakleigh,192.5,203.75,210.0,219.0,228.75,233.75,247.5,275.0,315.0,345.0,357.5,372.5,375.0,381.25,390.5,400.0,415.75,431.25,448.75,457.5,456.25,433.75,445.0,475.0
Clayton,178.75,186.25,195.0,208.0,213.75,223.75,239.5,261.25,298.75,327.5,330.0,342.5,350.0,346.25,352.5,361.25,369.75,385.0,400.0,415.0,416.25,398.25,411.25,450.0
Doncaster East-Donvale,225.0,234.5,248.33,250.0,258.75,267.5,285.0,310.0,340.25,360.0,377.5,395.0,400.0,415.0,425.0,447.5,452.5,468.75,478.75,493.75,497.5,483.75,510.0,550.0
East Hawthorn,206.5,230.0,234.33,242.0,251.25,260.0,274.5,286.25,321.25,350.0,362.5,375.0,390.0,393.75,398.75,400.0,405.0,422.5,440.0,448.25,435.75,392.5,406.25,450.0
Glen Waverley-Mulgrave,210.75,221.25,231.67,239.0,248.75,258.75,271.25,300.0,340.75,363.75,381.25,398.75,407.5,418.5,425.0,438.75,452.5,465.0,478.75,497.5,498.75,480.0,508.75,550.0
Hawthorn,193.75,215.75,220.0,229.0,231.25,243.75,250.0,263.75,298.75,329.25,343.75,350.0,348.75,351.25,355.0,366.25,372.5,381.25,398.75,407.5,412.5,377.5,358.75,400.0
Kew,246.25,252.75,261.0,265.0,268.75,280.0,290.0,325.0,366.25,388.75,408.25,430.0,447.5,450.0,447.5,471.25,475.0,487.0,500.0,514.5,516.25,481.25,493.75,530.0
Mount Waverley,208.75,217.5,225.0,235.0,237.5,252.5,265.0,295.0,335.0,365.0,382.5,395.0,400.0,411.25,422.5,442.5,460.0,468.25,487.5,512.5,507.5,496.5,512.5,550.0
Nunawading-Mitcham,178.75,187.5,198.33,207.0,220.0,225.0,237.5,263.75,295.0,320.0,332.5,350.0,352.5,358.75,370.0,372.5,385.0,396.25,417.5,423.75,421.25,420.0,436.25,460.0
Vermont-Forest Hill-Burwood East,206.25,212.5,225.0,230.0,238.75,250.0,259.0,280.0,323.75,343.75,362.0,378.75,383.75,387.5,397.5,409.5,420.0,431.25,450.0,455.0,459.5,450.0,480.0,510.0
